plant_id,type,n,c2,c1,c0
MIDDLETOWN-NG-ST,ng,1,8.66333057233813e-22,9.521355592858733,105.33676383952098
MIDDLETOWN-RFO-ST,dfo,1,3.2342368716914993e-19,11.742948136030314,380.3561784245003
STANTON ENERGY CENTER-BIT-ST,coal,1,0.013083313927314532,1.2213131121403211,899.3797669036229
STANTON ENERGY CENTER-NG-CA,ng,1,0.013083313927314532,1.2213131121403211,899.3797669036229
STANTON ENERGY CENTER-NG-CT,ng,1,0.013083313927314532,1.2213131121403211,899.3797669036229
TORRINGTON TERMINAL-KER-GT,dfo,1,6.366240124537864e-06,-0.00015657462355630068,250.00087592487407
MILLSTONE-NUC-ST,nuclear,1,,9011.0,
BRIDGEPORT STATION-SUB-ST,coal,1,,0.0,
BRIDGEPORT STATION-KER-GT,dfo,1,,9001.0,
CENTRAL HUDSON HIGH FALLS-WAT-HY,hydro,1,,36111.0,
NORTH MAIN STREET-DFO-GT,dfo,1,,9011.0,
TENTH STREET-WAT-HY,hydro,1,,9011.0,
NAVAJO DAM-WAT-HY,hydro,1,,35045.0,
DROP 1-WAT-HY,hydro,1,,6025.0,
EAST HIGHLINE-WAT-HY,hydro,1,,6025.0,
J C MCNEIL-WDS-ST,other,1,0.0057643673343609324,12.976392100061462,65.46673733404265
EDGE MOOR-NG-ST,ng,1,5.591263906445443e-19,10.076442039516971,164.8076193331559
INDIAN RIVER GENERATING STATION-DFO-GT,dfo,1,,10005.0,
INDIAN RIVER GENERATING STATION-BIT-ST,coal,1,,10005.0,
MCKEE RUN-NG-ST,ng,1,0.01225462269200015,8.860042011265175,63.06267275936218
BRANDON SHORES-BIT-ST,coal,1,5.3078966149225835e-18,9.46069159052952,407.8229586948056
CAPE CANAVERAL-NG-CT,ng,1,0.0038572060328169134,2.6294856735998327,824.4503924954316
CAPE CANAVERAL-NG-CA,ng,1,0.0038572060328169134,2.6294856735998327,824.4503924954316
FORT MYERS-NG-CT,ng,1,0.00496202276583897,3.1666265140238683,546.5227615059816
FORT MYERS-DFO-GT,dfo,1,0.00496202276583897,3.1666265140238683,546.5227615059816
FORT MYERS-NG-GT,ng,1,6.4263321048665326e-27,10.76645947030682,-751.881433268077
FORT MYERS-NG-CA,ng,1,0.00496202276583897,3.1666265140238683,546.5227615059816
LAUDERDALE-NG-GT,ng,1,4.073117146215522e-20,7.83603523749671,487.1891146526725
PORT EVERGLADES-NG-CT,ng,1,0.0028059798064869012,3.2541724945774444,712.4501825889308
