plant_id,type,startup,shutdown,n,c2,c1,c0,interconnect
19541,2,0,0,3,0.0,8001.0,0.0,Western
19542,2,0,0,3,0.0,8001.0,0.0,Western
19543,2,0,0,3,0.0,24039.0,0.0,Eastern
19544,2,0,0,3,0.0,27025.0,0.0,Eastern
19545,2,0,0,3,0.0,26021.0,0.0,Eastern
19546,2,0,0,3,0.0,18141.0,0.0,Eastern
19547,2,0,0,3,0.0,18053.0,0.0,Eastern
19548,2,0,0,3,0.0,37073.0,0.0,Eastern
19549,2,0,0,3,0.0,37127.0,0.0,Eastern
19550,2,0,0,3,0.0,44007.0,0.0,Eastern
19551,2,0,0,3,0.0,51069.0,0.0,Eastern
19552,2,0,0,3,0.0,18141.0,0.0,Eastern
19553,2,0,0,3,0.0,13053.0,0.0,Eastern
19554,2,0,0,3,0.0,13245.0,0.0,Eastern
19555,2,0,0,3,0.0,0.0,0.0,Eastern
19556,2,0,0,3,0.0,13179.0,0.0,Eastern
19558,2,0,0,3,0.0,12103.0,0.0,Eastern
19559,2,0,0,3,0.0,6029.0,0.0,Western
19560,2,0,0,3,0.0,6113.0,0.0,Western
19561,2,0,0,3,0.0,25017.0,0.0,Eastern
19562,2,0,0,3,0.0,13289.0,0.0,Eastern
19563,2,0,0,3,0.0,27083.0,0.0,Eastern
19564,2,0,0,3,0.0,13095.0,0.0,Eastern
19565,2,0,0,3,0.0,6065.0,0.0,Western
19566,2,0,0,3,0.0,37013.0,0.0,Eastern
19567,2,0,0,3,0.0,20057.0,0.0,Eastern
19568,2,0,0,3,0.0,13269.0,0.0,Eastern
19569,2,0,0,3,0.0,13269.0,0.0,Eastern
19570,2,0,0,3,0.0,13269.0,0.0,Eastern
19571,2,0,0,3,0.0,13269.0,0.0,Eastern
19572,2,0,0,3,0.0,37083.0,0.0,Eastern
19573,2,0,0,3,0.0,37013.0,0.0,Eastern
19574,2,0,0,3,0.0,6031.0,0.0,Western
19575,2,0,0,3,0.0,37061.0,0.0,Eastern
19576,2,0,0,3,0.0,38049.0,0.0,Eastern
19577,2,0,0,3,0.0,51550.0,0.0,Eastern
19578,2,0,0,3,7.674343903792172e-21,9.670183298349858,106.38678410045968,Eastern
