puma,state,htg_slope_com_btu_m2_degC
puma_2503301,MA,6.720876506626400
puma_2503302,MA,6.720876506626400
puma_2503303,MA,6.720876506626400
puma_2503304,MA,6.720876506626400
puma_2503305,MA,6.720876506626400
puma_2503306,MA,6.720876506626400
puma_2503400,MA,6.720876506626400
puma_2503500,MA,6.720876506626400
puma_2503601,MA,6.720876506626400
puma_2503602,MA,6.720876506626400
puma_2503603,MA,6.720876506626400
puma_2503900,MA,6.720876506626400
puma_2504000,MA,6.720876506626400
puma_2504200,MA,6.720876506626400
puma_2504301,MA,6.720876506626400
puma_2504302,MA,6.720876506626400
puma_2504303,MA,6.720876506626400
puma_2504500,MA,6.720876506626400
puma_2504700,MA,6.720876506626400
