puma,latitude,longitude
puma_1304500,31.1797423,-81.5158409
puma_1304600,32.3988779,-82.8114713
puma_1305001,32.8088443,-83.6941934
puma_1305002,31.8621048,-81.5322391
puma_1306001,32.5152073,-81.595208
puma_1306002,32.0219828,-81.2170428
puma_1600100,47.7150625,-116.3471885
puma_1600200,47.7844904,-116.8187621
puma_1600300,45.0350351,-114.828938
puma_1600400,44.1989949,-116.6635043
puma_1600500,42.6291746,-116.1980066
puma_1600600,43.617929,-116.5024994
puma_1600701,43.6113436,-116.3450452
puma_1600702,43.6436402,-116.2482054
puma_1600800,43.3548169,-116.214307
puma_1600900,42.3131785,-114.0785849
puma_1601000,43.2361534,-114.596363
puma_1601100,43.769755,-111.9392803
puma_1601200,43.3951708,-111.6218783
puma_1601300,42.5502596,-112.0975694
puma_1700104,38.8640719,-90.0890353
puma_1700105,39.7563782,-89.662311
puma_1700202,39.8602372,-88.9615288
puma_1700300,39.7699432,-89.2258108
puma_1700401,40.7859987,-89.7673577
puma_1700501,40.5080739,-89.5162597
puma_1700600,40.4945594,-88.8445391
puma_1700700,40.1391496,-88.1972014
puma_1700800,40.6262685,-88.0722629
puma_1700900,41.1394937,-87.8611252
puma_1701001,41.3433407,-88.8859312
puma_1701104,41.084134,-89.6242013
puma_1701105,41.8946125,-88.768991
puma_1701204,42.178523,-89.464243
puma_1701205,42.3082349,-89.1981973
