"puma","state","htg_slope_res_btu_m2_degC"
"puma_1209505","FL",6.12029630922118
"puma_1209506","FL",6.12029630922118
"puma_1209507","FL",6.12029630922118
"puma_1209508","FL",6.12029630922118
"puma_1209509","FL",6.08801912453222
"puma_1209510","FL",6.11014301212395
"puma_1209701","FL",6.03689571898762
"puma_1209702","FL",6.0569764531109
"puma_1209901","FL",6.2841773565664
"puma_1209902","FL",6.27477033578026
"puma_1209903","FL",6.32805914591507
"puma_1209904","FL",6.32805914591507
"puma_1209905","FL",6.32911630781888
"puma_1209906","FL",6.34037675685564
"puma_1209907","FL",6.34459691313821
"puma_1209908","FL",6.36345681845453
"puma_1209909","FL",6.355536602874
"puma_1209910","FL",6.33706790249798
"puma_1209911","FL",6.26373312513502
"puma_1210101","FL",6.07578527380474
"puma_1210102","FL",5.97950863493732
"puma_1210103","FL",6.04190708476348
"puma_1210104","FL",6.09446549728775
"puma_1210301","FL",6.05218216856998
"puma_1210302","FL",6.1202877309841
"puma_1210303","FL",6.16581844263997
"puma_1210304","FL",6.16581844263997
"puma_1210305","FL",6.16785242505386
"puma_1210306","FL",6.17143633441884
"puma_1210307","FL",6.19493174202698
"puma_1210308","FL",6.19851383780316
"puma_1210501","FL",6.11934607043527
"puma_1210502","FL",6.10186002786285
"puma_1210503","FL",6.14569261174305
"puma_1210504","FL",6.13327296659558
"puma_1210700","FL",5.82221412903729
"puma_1210900","FL",5.79455638431911
"puma_1211101","FL",6.18105947845509
"puma_1211102","FL",6.23247065434502
"puma_1211300","FL",5.49301578794225
"puma_1211501","FL",6.15599121969446
"puma_1211502","FL",6.15381139317957
"puma_1211503","FL",6.17832145400572
"puma_1211701","FL",6.03414989568486
"puma_1211702","FL",6.06242098791145
"puma_1211703","FL",6.10704419619084
"puma_1211704","FL",6.07935541354191
"puma_1212100","FL",5.54648826804985
"puma_1212701","FL",5.8815480796097
"puma_1212702","FL",5.91569571557942
"puma_1212703","FL",5.96575959105192
"puma_1212704","FL",5.99485182729959
"puma_1300100","GA",6.18874637617617
"puma_1300200","GA",6.10895662564502
"puma_1300300","GA",5.85649415854277
"puma_1300401","GA",5.98811799395659
"puma_1300402","GA",5.98893860629486
"puma_1300500","GA",5.97865711029215
"puma_1300600","GA",6.09004593837628
"puma_1300700","GA",5.91718018484273
"puma_1300800","GA",6.04541002770677
"puma_1300900","GA",5.89897767740012
"puma_1301001","GA",5.28447424408554
"puma_1301002","GA",4.97502104706395
"puma_1301003","GA",5.39854774868573
"puma_1301004","GA",5.40186869414954
"puma_1301005","GA",4.97676258143575
"puma_1301006","GA",5.33151289334715
"puma_1301007","GA",5.36082759995582
"puma_1301008","GA",5.31731969731483
"puma_1301100","GA",5.95010205962931
"puma_1301200","GA",5.88060852786698
"puma_1301300","GA",5.72241920943552
"puma_1301400","GA",5.64139638274105
"puma_1301500","GA",5.64313768403234
"puma_1301600","GA",5.53062111700285
"puma_1301700","GA",5.72960657279557
"puma_1301800","GA",5.63008559851077
"puma_1301900","GA",5.40480867187994
"puma_1302001","GA",5.32003238110894
"puma_1302002","GA",5.32178226054942
"puma_1302003","GA",5.32178226054942
"puma_1302004","GA",5.32178226054942
"puma_1302100","GA",5.30628087195901
"puma_1302200","GA",5.43703610874678
"puma_1302300","GA",5.12130893542762
"puma_1302400","GA",5.31260719557436
"puma_1302500","GA",5.16510008140236
"puma_1302600","GA",5.00991274010778
"puma_1302700","GA",5.1231725893367
"puma_1302800","GA",5.02896593809506
"puma_1302900","GA",5.19574800061631
"puma_1303001","GA",5.19777280173864
