plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance
2000,163596,3.0,0.0,0.0,0.0,0.0,0.0,1,10.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,19558.09090412115
2009,130515,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,solar,Eastern,0.0,0.0,0.0,0.0,25030.25036621358
2010,130515,0.5,0.0,0.0,0.0,0.0,0.0,1,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,wind,Eastern,0.0,0.0,0.0,0.0,25030.25036621358
2012,137730,0.3,0.0,0.0,0.0,0.0,0.0,1,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,345.8830262117469
2014,159998,0.7,0.0,0.0,0.0,0.0,0.0,1,1.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,22219.367249763374
2016,159998,1.8,0.0,0.0,0.0,0.0,0.0,1,3.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,22219.367249763374
2017,167899,0.9,0.0,0.0,0.0,0.0,0.0,1,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,444.5140804698754
2022,162897,1.8,0.0,0.0,0.0,0.0,0.0,1,3.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,73.01691128980539
2023,133174,1.0,0.0,0.0,0.0,0.0,0.0,1,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,43.75117835137178
2026,138118,10.0,0.0,0.0,0.0,0.0,0.0,1,23.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,1946.8095230137856
2027,130991,0.5,0.0,0.0,0.0,0.0,0.0,1,6.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,11654.80392499818
2032,130990,1.0,0.0,0.0,0.0,0.0,0.0,1,13.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,16986.96618956467
2038,153255,0.5,0.0,0.0,0.0,0.0,0.0,1,2.8000000000000003,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,33109.45816811951
2041,163594,0.5,0.0,0.0,0.0,0.0,0.0,1,5.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,28723.62693829842
2050,133177,1.6,0.0,0.0,0.0,0.0,0.0,1,16.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,74.16525815828042
2057,130709,5.0,0.0,0.0,0.0,0.0,0.0,1,21.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,10799.942040636928
2067,131602,2.2,0.0,0.0,0.0,0.0,0.0,1,9.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,1842.933718909578
2072,131418,0.5,0.0,0.0,0.0,0.0,0.0,1,13.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,4772.807397290667
2078,132861,10.0,0.0,0.0,0.0,0.0,0.0,1,22.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,85.19068818740857
2081,132861,10.0,0.0,0.0,0.0,0.0,0.0,1,62.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,85.19068818740857
2083,159175,45.0,0.0,0.0,0.0,0.0,0.0,1,90.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,4971.998980562481
